date,lat,lng,diff
2015-05-12 00:37:07,24.970415,121.543384,4
2015-05-12 01:00:43,24.970415,121.543384,4
2015-05-12 03:06:37,24.970415,121.543384,4
2015-05-12 07:21:45,24.970415,121.543384,4
2015-05-12 07:26:45,24.970415,121.543384,4
2015-05-12 07:46:44,24.970415,121.543384,4
2015-05-12 08:56:45,24.970415,121.543384,4
2015-05-12 09:16:45,24.970415,121.543384,4
2015-05-12 09:26:45,24.970415,121.543384,4
2015-05-12 09:46:45,24.970415,121.543384,4
2015-05-12 10:01:45,24.970415,121.543384,4
2015-05-12 10:06:44,24.970415,121.543384,4
2015-05-12 10:11:45,24.970415,121.543384,4
2015-05-12 10:16:45,24.970415,121.543384,4
2015-05-12 10:26:45,24.970415,121.543384,4
2015-05-12 10:31:45,24.970415,121.543384,4
2015-05-12 10:46:44,24.970415,121.543384,4
2015-05-12 11:01:47,24.970415,121.543384,4
2015-05-12 11:36:47,24.970415,121.543384,4
2015-05-12 12:07:11,24.970415,121.543384,4
2015-05-12 12:16:47,24.970415,121.543384,4
2015-05-12 12:21:47,24.970415,121.543384,4
2015-05-12 12:42:42,24.970415,121.543384,4
2015-05-12 12:47:42,24.970415,121.543384,4
2015-05-12 13:17:42,24.970415,121.543384,4
2015-05-12 13:42:42,24.970415,121.543384,4
2015-05-12 13:47:42,24.970415,121.543384,4
2015-05-12 14:02:42,24.970415,121.543384,4
2015-05-12 14:07:42,24.970415,121.543384,4
2015-05-12 14:17:42,24.970415,121.543384,4
2015-05-12 14:32:42,24.970415,121.543384,4
2015-05-12 14:42:42,24.970415,121.543384,4
2015-05-12 15:17:41,24.970415,121.543384,4
2015-05-12 15:22:41,24.970415,121.543384,4
2015-05-12 15:32:41,24.970415,121.543384,4
2015-05-12 15:37:41,24.970415,121.543384,4
2015-05-12 16:07:42,24.970415,121.543384,4
2015-05-12 16:17:42,24.970415,121.543384,4
2015-05-12 16:22:42,24.970415,121.543384,4
2015-05-12 16:27:42,24.970415,121.543384,4
2015-05-12 16:32:42,24.970415,121.543384,4
2015-05-12 16:38:06,24.970415,121.543384,4
2015-05-12 16:42:42,24.970415,121.543384,4
2015-05-12 16:47:43,24.970415,121.543384,4
2015-05-12 16:57:42,24.970415,121.543384,4
2015-05-12 17:07:42,24.970415,121.543384,4
2015-05-12 17:12:42,24.970415,121.543384,4
2015-05-12 17:17:45,24.970415,121.543384,4
2015-05-12 17:22:42,24.970415,121.543384,4
2015-05-12 17:27:41,24.970415,121.543384,4
2015-05-12 17:32:41,24.970415,121.543384,4
2015-05-12 17:42:42,24.970415,121.543384,4
2015-05-12 17:47:42,24.970415,121.543384,4
2015-05-12 18:02:41,24.970415,121.543384,4
2015-05-12 18:07:41,24.970415,121.543384,4
2015-05-12 18:12:42,24.970415,121.543384,4
2015-05-12 18:17:42,24.970415,121.543384,4
2015-05-12 18:27:42,24.970415,121.543384,4
2015-05-12 18:37:42,24.970415,121.543384,4
2015-05-12 18:42:41,24.970415,121.543384,4
2015-05-12 19:02:41,24.970415,121.543384,4
2015-05-12 19:07:41,24.970415,121.543384,4
2015-05-12 19:12:41,24.970415,121.543384,4
2015-05-12 19:17:41,24.970415,121.543384,4
2015-05-12 19:37:41,24.970415,121.543384,4
2015-05-12 19:42:41,24.970415,121.543384,4
2015-05-12 19:47:41,24.970415,121.543384,4
2015-05-12 19:57:42,24.970415,121.543384,4
